Date,Open,High,Low,Close,Volume
2025-07-15,100.15,100.15,100.15,100.15,15000
2025-07-23,100.27,100.27,100.27,100.27,1000
2025-08-06,102.05,102.05,102.05,102.05,5000
2025-08-24,101.98,101.98,101.98,101.98,35000
2025-10-22,103.23,103.23,103.23,103.23,2000
2026-01-13,101.19,101.19,101.19,101.19,6000
2026-02-01,99.7,99.7,99.7,99.7,2000
2026-02-02,99.65,99.65,99.65,99.65,10000
2026-02-17,99.7,99.7,99.7,99.7,20000
2026-02-19,99.9,99.9,99.9,99.9,20000
2026-04-13,99.2,99.2,99.2,99.2,5000
2026-04-21,101.18,101.18,101.18,101.18,1000
2026-05-03,101.06,101.06,101.06,101.06,1000
2026-05-10,100.35,100.35,100.35,100.35,30000
2026-05-12,101.15,101.15,101.15,101.15,30000
