Date,Open,High,Low,Close,Volume
2024-11-24,96.79,96.79,96.79,96.79,2000
2024-12-10,95.97,95.97,95.97,95.97,27000
2024-12-18,96.76,96.76,96.76,96.76,10000
2024-12-19,97.28,97.28,97.28,97.28,2000
2025-01-12,97.83,97.83,97.83,97.83,8000
2025-01-13,97.65,97.65,97.65,97.65,1000
2025-01-26,98.0,98.0,98.0,98.0,4000
2025-01-28,99.17,99.17,99.17,99.17,12000
2025-02-23,108.39,108.39,108.39,108.39,2000
2025-02-27,107.18,107.18,107.18,107.18,10000
2025-03-03,109.41,109.41,109.41,109.41,10000
2025-03-18,101.61,101.61,101.61,101.61,28000
2025-05-19,99.53,99.53,99.53,99.53,5000
2025-07-20,103.37,103.37,103.37,103.37,1000
2025-08-11,106.7,106.7,106.7,106.7,12000
2025-08-14,107.42,107.42,107.42,107.42,8000
2025-08-17,107.13,107.13,106.84,107.01,7000
2025-09-07,109.12,109.12,109.12,109.12,25000
2025-09-11,108.63,108.63,108.63,108.63,9000
2026-01-06,108.3,108.3,108.3,108.3,2000
2026-01-22,107.61,107.61,107.61,107.61,400000
